ID,Name,disableParam_NT,disableParamReserve1,disableParamReserve2,refId_default,sfxVariationId,weight,basicPrice,sellValue,behaviorId,replaceItemId,sortId,appearanceReplaceItemId,yesNoDialogMessageId,useEnableSpEffectType,potGroupId,pad,iconId,modelId,shopLv,compTrophySedId,trophySeqId,maxNum,consumeHeroPoint,overDexterity,goodsType,refCategory,spEffectCategory,unknown_0x40,goodsUseAnim,opmeMenuType,useLimitCategory,replaceCategory,reserve4,enable_live,enable_gray,enable_white,enable_black,enable_multi,disable_offline,isEquip,isConsume,isAutoEquip,isEstablishment,isOnlyOne,isDiscard,isDeposit,isDisableHand,isRemoveItem_forGameClear,isSuppleItem,isFullSuppleItem,isEnhance,isFixItem,disableMultiDropShare,disableUseAtColiseum,disableUseAtOutOfColiseum,isEnableFastUseItem,isApplySpecialEffect,syncNumVaryId,refId_1,refVirtualWepId,vagrantItemLotId,vagrantBonusEneDropItemLotId,vagrantItemEneDropItemLotId,castSfxId,fireSfxId,effectSfxId,enable_ActiveBigRune,isBonfireWarpItem,enable_Ladder,isUseMultiPlayPreparation,canMultiUse,isShieldEnchant,isWarpProhibited,isUseMultiPenaltyOnly,suppleType,autoReplenishType,isDrop,showLogCondType,isSummonHorse,showDialogCondType,isSleepCollectionItem,enableRiding,disableRiding,maxRepositoryNum,sortGroupId,isUseNoAttackRegion,unknown_0x73_1,unknown_0x73_2,pad1,saleValue,rarity,useLimitSummonBuddy,useLimitSpEffectType,aiUseJudgeId,consumeMP,consumeHP,reinforceGoodsId,reinforceMaterialId,reinforcePrice,useLevel_vowType0,useLevel_vowType1,useLevel_vowType2,useLevel_vowType3,useLevel_vowType4,useLevel_vowType5,useLevel_vowType6,useLevel_vowType7,useLevel_vowType8,useLevel_vowType9,useLevel_vowType10,useLevel_vowType11,useLevel_vowType12,useLevel_vowType13,useLevel_vowType14,useLevel_vowType15,useLevel,reserve5,itemGetTutorialFlagId,reserve3
0,,0,0,[0|0|0],-1,-1,0,0,0,0,-1,-1,-1,-1,0,-1,0,0,0,0,-1,-1,1,0,0,0,0,0,0,0,0,0,0,[0|0],1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,0,0,255,1,0,0,0,-1,0,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0|0],0,[0|0|0|0|0|0|0|0]
10,,1,0,[0|0|0],501050,-1,0,0,-1,0,-1,999999,-1,-1,0,-1,0,0,0,-1,-1,-1,99,0,50,0,2,0,0,6,0,0,0,[0|0],1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,302060,1,0,0,1,0,0,0,0,0,0,0,1,0,2,0,1,0,0,255,1,0,0,0,-1,0,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0|0],0,[0|0|0|0|0|0|0|0]
11,,1,0,[0|0|0],501051,-1,0,0,-1,0,-1,999999,-1,-1,0,-1,0,0,0,-1,-1,-1,99,0,50,0,2,0,0,14,0,0,0,[0|0],1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,0,0,0,0,0,0,0,1,0,2,0,1,0,0,255,1,0,0,0,-1,0,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0|0],0,[0|0|0|0|0|0|0|0]
12,,1,0,[0|0|0],81,-1,0,0,-1,0,-1,999999,-1,-1,0,-1,0,0,0,-1,-1,-1,1,0,50,0,2,0,0,6,0,0,0,[0|0],1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,0,0,0,0,0,0,0,1,1,2,0,1,0,0,255,1,0,0,0,-1,0,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0|0],0,[0|0|0|0|0|0|0|0]
13,,1,0,[0|0|0],8060,-1,0,0,-1,0,-1,999999,-1,-1,0,-1,0,0,0,-1,-1,-1,1,0,50,0,2,0,0,14,0,0,0,[0|0],1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,301000,-1,301002,1,0,0,1,0,0,0,0,0,0,0,1,0,2,0,1,0,0,255,1,0,0,0,-1,0,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0|0],0,[0|0|0|0|0|0|0|0]
14,,1,0,[0|0|0],8061,-1,0,0,-1,0,-1,999999,-1,-1,0,-1,0,0,0,-1,-1,-1,1,0,50,0,2,0,0,14,0,0,0,[0|0],1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,301000,-1,301002,1,0,0,1,0,0,0,0,0,0,0,1,0,2,0,1,0,0,255,1,0,0,0,-1,0,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0|0],0,[0|0|0|0|0|0|0|0]
15,,1,0,[0|0|0],8062,-1,0,0,-1,0,-1,999999,-1,-1,0,-1,0,0,0,-1,-1,-1,1,0,50,0,2,0,0,14,0,0,0,[0|0],1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,301000,-1,301002,1,0,0,1,0,0,0,0,0,0,0,1,0,2,0,1,0,0,255,1,0,0,0,-1,0,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0|0],0,[0|0|0|0|0|0|0|0]
16,,1,0,[0|0|0],8070,-1,0,0,-1,0,-1,999999,-1,-1,0,-1,0,0,0,-1,-1,-1,1,0,50,0,2,0,0,14,0,0,0,[0|0],1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,301000,-1,301002,1,0,0,1,0,0,0,0,0,0,0,1,0,2,0,1,0,0,255,1,0,0,0,-1,0,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0|0],0,[0|0|0|0|0|0|0|0]
20,,1,0,[0|0|0],124,-1,0,0,-1,0,-1,999999,-1,-1,0,-1,0,0,0,-1,-1,-1,1,0,50,0,1,0,0,2,0,0,0,[0|0],1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,302000,-1,-1,1,0,0,1,0,0,0,0,0,0,0,1,0,2,0,1,0,0,255,1,0,0,0,-1,0,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0|0],0,[0|0|0|0|0|0|0|0]
21,,1,0,[0|0|0],-1,-1,0,0,-1,0,-1,999999,-1,-1,0,-1,0,4121,0,-1,-1,-1,99,0,0,5,0,0,0,0,0,0,0,[0|0],1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,0,0,0,0,0,0,0,1,0,2,0,1,0,0,255,1,0,0,0,-1,0,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0|0],0,[0|0|0|0|0|0|0|0]
22,,1,0,[0|0|0],-1,-1,0,0,-1,0,-1,999999,-1,-1,0,-1,0,4032,0,-1,-1,-1,99,0,0,5,0,0,0,0,0,0,0,[0|0],1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,0,0,0,0,0,0,0,1,0,2,0,1,0,0,255,1,0,0,0,-1,0,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0|0],0,[0|0|0|0|0|0|0|0]
23,,1,0,[0|0|0],-1,-1,0,0,100,0,-1,999999,-1,-1,0,-1,0,4000,0,-1,-1,-1,99,0,0,5,0,0,0,0,0,0,0,[0|0],1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,0,0,0,0,0,0,0,1,0,2,0,1,0,99,255,1,0,0,0,1000,0,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0|0],0,[0|0|0|0|0|0|0|0]
24,,1,0,[0|0|0],-1,-1,0,0,200,0,-1,999999,-1,-1,0,-1,0,4001,0,-1,-1,-1,99,0,0,5,0,0,0,0,0,0,0,[0|0],1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,0,0,0,0,0,0,0,1,0,2,0,1,0,99,255,1,0,0,0,3000,0,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0|0],0,[0|0|0|0|0|0|0|0]
25,,1,0,[0|0|0],-1,-1,0,0,500,0,-1,999999,-1,-1,0,-1,0,4004,0,-1,-1,-1,99,0,0,5,0,0,0,0,0,0,0,[0|0],1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,0,0,0,0,0,0,0,1,0,2,0,1,0,99,255,1,0,0,0,6000,0,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0|0],0,[0|0|0|0|0|0|0|0]
26,,1,0,[0|0|0],-1,-1,0,0,500,0,-1,999999,-1,-1,0,-1,0,4006,0,-1,-1,-1,99,0,0,5,0,0,0,0,0,0,0,[0|0],1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,0,0,0,0,0,0,0,1,0,2,0,1,0,99,255,1,0,0,0,5000,0,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0|0],0,[0|0|0|0|0|0|0|0]
27,,1,0,[0|0|0],-1,-1,0,0,200,0,-1,999999,-1,-1,0,-1,0,4015,0,-1,-1,-1,99,0,0,5,0,0,0,0,0,0,0,[0|0],1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,0,0,0,0,0,0,0,1,0,2,0,1,0,99,255,1,0,0,0,1000,0,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0|0],0,[0|0|0|0|0|0|0|0]
28,,1,0,[0|0|0],-1,-1,0,0,100,0,-1,999999,-1,-1,0,-1,0,4065,0,-1,-1,-1,99,0,0,5,0,0,0,0,0,0,0,[0|0],1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,0,0,0,0,0,0,0,1,0,2,0,1,0,99,255,1,0,0,0,2000,0,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0|0],0,[0|0|0|0|0|0|0|0]
29,,1,0,[0|0|0],-1,-1,0,0,500,0,-1,999999,-1,-1,0,-1,0,4060,0,-1,-1,-1,99,0,0,5,0,0,0,0,0,0,0,[0|0],1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,0,0,0,0,0,0,0,1,0,2,0,1,0,99,255,1,0,0,0,4000,0,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0|0],0,[0|0|0|0|0|0|0|0]
30,,1,0,[0|0|0],-1,-1,0,0,100,0,-1,999999,-1,-1,0,-1,0,4061,0,-1,-1,-1,99,0,0,5,0,0,0,0,0,0,0,[0|0],1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,0,0,0,0,0,0,0,1,0,2,0,1,0,99,255,1,0,0,0,5000,0,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0|0],0,[0|0|0|0|0|0|0|0]
31,,1,0,[0|0|0],-1,-1,0,0,200,0,-1,999999,-1,-1,0,-1,0,4015,0,-1,-1,-1,99,0,0,5,0,0,0,0,0,0,0,[0|0],1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,0,0,0,0,0,0,0,1,0,2,0,1,0,99,255,1,0,0,0,1000,0,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0|0],0,[0|0|0|0|0|0|0|0]
35,,1,0,[0|0|0],-1,-1,0,0,200,0,-1,999999,-1,-1,0,-1,0,4128,0,-1,-1,-1,99,0,0,5,0,0,0,0,0,0,0,[0|0],1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,0,0,0,0,0,0,0,1,0,2,0,1,0,99,255,1,0,0,0,1000,0,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0|0],0,[0|0|0|0|0|0|0|0]
40,,1,0,[0|0|0],-1,-1,0,0,-1,0,41,999999,-1,-1,0,-1,0,0,0,-1,-1,-1,1,0,0,9,0,0,0,9,0,0,0,[0|0],1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,301000,-1,-1,1,0,1,1,0,0,0,0,3,0,0,1,0,2,0,1,0,1,255,1,0,0,0,-1,0,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0|0],0,[0|0|0|0|0|0|0|0]
41,,1,0,[0|0|0],-1,-1,0,0,-1,0,40,999999,-1,-1,0,-1,0,0,0,-1,-1,-1,1,0,0,9,0,0,0,255,0,0,0,[0|0],1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,301001,-1,-1,1,0,1,1,0,0,0,0,3,0,0,1,0,2,0,1,0,1,255,1,0,0,0,-1,0,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0|0],0,[0|0|0|0|0|0|0|0]
42,,1,0,[0|0|0],4420,-1,0,0,1,0,-1,999999,-1,-1,0,-1,0,0,0,-1,-1,-1,99,0,0,10,1,0,0,0,0,0,0,[0|0],1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,0,0,0,0,0,0,1,1,0,2,0,1,0,99,255,1,0,0,0,100,0,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0|0],0,[0|0|0|0|0|0|0|0]
43,,1,0,[0|0|0],1280,-1,0,0,1,0,-1,999999,-1,-1,0,-1,0,0,0,-1,-1,-1,99,0,0,10,2,0,0,0,0,0,0,[0|0],1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,0,0,0,0,0,0,1,1,0,2,0,1,0,99,255,1,0,0,0,100,0,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0|0],0,[0|0|0|0|0|0|0|0]
44,,1,0,[0|0|0],1440,-1,0,0,1,0,-1,999999,-1,-1,0,-1,0,0,0,-1,-1,-1,99,0,0,10,2,0,0,0,0,0,0,[0|0],1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,0,0,0,0,0,0,1,1,0,2,0,1,0,99,255,1,0,0,0,100,0,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0|0],0,[0|0|0|0|0|0|0|0]
