ID,sellValue
23,1
24,2
25,5
26,5
27,2
28,1
29,5
30,1
31,2
35,2
42,1
43,1
44,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
90,100
91,10
92,1
93,1
98,5
99,1
111,1
150,1
190,2
480,1
810,1
811,1
812,1
813,1
814,1
815,1
816,1
820,1
830,1
900,1
910,1
920,1
930,1
940,2
950,2
960,2
1100,2
1110,1
1120,1
1130,1
1140,2
1150,1
1160,1
1170,1
1180,1
1190,1
1200,2
1210,2
1220,2
1235,1
1290,1
1310,1
1320,1
1330,1
1340,1
1350,2
1400,1
1410,1
1420,1
1430,1
1440,1
1450,2
1460,1
1470,1
1480,2
1490,2
1500,1
1510,1
1520,1
1530,1
1540,1
1550,2
1560,1
1570,1
1590,2
1690,1
1700,1
1710,1
1720,1
1730,1
1740,1
1750,1
1760,1
1761,1
1762,1
1770,1
1771,1
1780,1
1781,1
1830,1
1831,1
1840,1
1841,1
1990,2
2020,1
2030,1
2050,1
2100,1
2120,1
2130,1
2950,200
2951,400
2952,300
2953,500
2954,500
2955,300
2956,300
2957,300
2958,300
2959,200
2960,300
2961,300
2962,300
2963,500
2964,300
2990,30
3030,1
3050,1
3051,1
3060,1
3070,1
3310,1
3311,1
3320,1
3350,1
8115,1
8116,1
8117,1
10070,5
10100,1
10101,2
10102,4
10103,6
10104,9
10105,12
10106,15
10107,18
10140,300
10150,1
10151,10
10160,10
10161,20
10162,40
10163,60
10164,90
10165,120
10166,160
10167,200
10168,300
10200,250
10900,1
10901,2
10902,4
10903,6
10904,9
10905,14
10906,18
10907,24
10908,30
10909,100
10910,2
10911,4
10912,8
10913,12
10914,18
10915,27
10916,36
10917,48
10918,60
10919,100
13400,1
13410,1
13420,1
13500,1
13510,1
13520,1
13530,1
13600,1
13610,1
13620,1
13630,1
13640,1
13650,1
13660,1
13700,1
13710,1
13720,1
13730,1
13740,1
13750,1
13760,1
13770,1
13780,1
13790,1
13800,1
13810,1
13820,1
13830,1
13840,1
13900,1
13910,1
13920,1
13930,1
15000,1
15010,1
15020,1
15030,1
15040,1
15050,1
15060,1
15080,1
15090,1
15100,1
15110,1
15120,1
15130,1
15140,1
15150,1
15160,1
15340,1
15341,1
15400,1
15410,2
15420,1
15430,1
15440,1
20650,1
20651,1
20652,1
20653,1
20654,1
20660,1
20680,1
20681,1
20682,1
20683,1
20685,1
20690,1
20691,1
20710,1
20720,1
20721,1
20722,1
20723,1
20740,1
20750,1
20751,1
20753,1
20760,1
20761,1
20770,1
20775,1
20780,1
20781,1
20795,1
20800,1
20801,1
20802,1
20810,1
20811,1
20812,1
20820,1
20825,1
20830,1
20831,1
20840,1
20841,1
20842,1
20845,1
20850,1
20852,1
20855,1
51760,1
82900,10
82901,20
82902,30
82903,40
82904,50
82905,60
82906,70
82907,80
82908,90
82909,100
82910,110
82911,120
82912,130
82913,140
82914,150
82915,200
82916,250
82917,300
82918,350
82919,500
1000010,1
2000800,1
2000900,5
2000910,2
2001100,3
2001105,3
2001110,3
2001120,2
2001130,2
2001140,2
2001150,2
2001160,2
2001170,2
2001200,2
2001201,2
2001202,2
2001203,2
2001210,2
2001220,10
2001230,10
2001400,2
2001410,2
2001420,2
2001430,2
2001450,3
2001480,3
2001500,2
2001510,2
2001520,2
2001530,2
2001550,3
2001600,2
2001700,2
2001710,2
2002000,1
2002900,300
2002901,400
2002902,400
2002903,300
2002904,300
2002905,300
2002906,300
2002907,500
2002908,400
2002909,400
2002910,300
2002950,500
2002951,5
2002952,75
2002953,100
2002954,125
2002955,150
2002956,175
2002957,225
2002958,300
2002959,500
2002960,800
2003001,2
2003150,1
2003160,2
2003170,1
2003180,1
2003190,1
2003200,1
2003310,2
2003350,2
2015000,1
2015010,2
2015020,1
2015030,1
2015040,1
2020001,1
2020002,1
2020003,1
2020004,1
2020005,1
2020006,1
2020007,1
2020008,1
2020009,1
2020010,1
2020011,1
2020012,1
2020013,1
2020014,1
2020015,1
2020016,1
2020017,1
2020018,1
2020019,1
2020020,1
2020021,1
2020022,1
2020023,1
2020024,1
2020025,1
2020026,1
2020027,1
2020028,1
2020029,1
2020030,1
2020031,1
2020032,1
2020033,1
2020034,1
2020035,1
2053480,1
2053490,1
