ID,sellValue
40000,2
40100,2
40200,2
40300,2
41000,2
50000,1
50100,1
50200,1
50300,1
51100,1
52100,1
60000,5
60100,5
60200,5
60300,5
61000,5
61100,5
80000,5
80100,5
80200,5
80300,5
81100,5
90000,5
90100,5
90200,5
90300,5
91100,5
100000,1
100100,1
100200,1
100300,1
101100,1
120000,2
120100,2
120200,2
120300,2
121000,2
121100,2
130000,2
130100,2
130200,2
130300,2
131000,2
131100,2
140000,5
140100,5
140200,5
140300,5
150000,2
150100,2
150200,2
150300,2
151100,2
160000,1
160100,1
160300,1
170000,5
170100,5
170200,5
170300,5
171100,5
180000,5
180100,5
180200,5
180300,5
181100,5
190000,1
190100,1
190200,1
190300,1
200000,1
200100,1
200200,1
200300,1
201000,1
201100,1
202100,1
210000,5
210100,5
210200,5
210300,5
211100,5
220000,2
220100,2
220300,2
221100,2
230000,5
230100,5
230200,5
230300,5
231000,5
231100,5
240000,5
240100,5
240200,5
240300,5
241100,5
241300,5
250000,1
250100,1
250300,1
251100,1
260000,10
260100,10
260200,10
260300,10
270000,10
270100,10
270200,10
270300,10
271100,10
280000,10
280100,10
280200,10
280300,10
281100,10
290000,2
290100,2
290200,2
290300,2
291000,2
291100,2
292000,2
292100,2
293000,2
293100,2
294000,2
294100,2
300000,1
300100,1
300300,1
301000,1
301100,1
301300,1
310000,2
310100,2
310300,2
311100,2
320000,5
320100,5
320300,5
321300,5
330000,1
330100,1
330200,1
330300,1
331100,1
340000,2
340100,2
340200,2
340300,2
341000,2
341100,2
350000,1
350100,1
350200,1
350300,1
351000,1
351100,1
351200,1
351300,1
360000,5
360100,5
360200,5
360300,5
361000,5
361100,5
370000,10
370100,1
370300,1
371100,1
380000,1
380100,1
390000,1
390100,1
390300,1
420000,1
420100,1
420200,1
420300,1
430000,1
430100,1
430300,1
440000,1
441000,1
460000,20
460100,20
460200,20
460300,20
461100,20
470000,20
470100,20
470200,20
470300,20
471100,20
480100,20
481100,20
510000,20
510100,20
510200,20
510300,20
520000,10
520100,10
520200,10
520300,10
530000,10
530100,10
530200,10
530300,10
540000,5
540100,5
540200,5
540300,5
541100,5
570000,10
570100,10
570200,10
570300,10
571000,10
571100,10
572100,10
573100,10
580000,10
580100,10
580200,10
580300,10
581000,10
581100,10
581200,10
590000,10
590100,10
590200,10
590300,10
591100,10
600000,10
600100,10
600200,10
600300,10
601100,10
610000,1
610100,1
610200,1
610300,1
611000,1
611100,1
620000,1
620100,1
620300,1
621100,1
622100,1
630000,1
630100,1
630200,1
630300,1
631100,1
640000,5
640100,5
640200,5
640300,5
641100,5
650000,30
650100,30
650200,30
650300,30
651000,30
652100,30
660000,1
660100,1
660200,1
660300,1
661100,1
670000,1
670100,1
670200,1
670300,1
680000,1
680100,1
680200,1
680300,1
681100,1
690000,5
690100,5
690200,5
690300,5
700000,5
700100,5
700200,5
700300,5
701000,5
701300,5
702000,5
720000,2
720100,2
720200,2
720300,2
721100,2
730000,1
730100,1
730200,1
730300,1
740000,5
740100,5
740200,5
740300,5
741000,5
742000,5
743000,5
760000,20
760100,20
760200,20
760300,20
761100,20
770000,20
770100,20
770200,20
770300,20
771100,20
772100,20
773100,20
780000,10
780100,10
780200,10
780300,10
781100,10
790000,10
790100,10
790200,10
790300,10
791100,10
800000,1
800100,1
801000,1
801100,1
802000,1
802100,1
810000,1
810100,1
810300,1
811000,1
811100,1
812000,1
812100,1
820000,1
830000,1
830100,1
830200,1
830300,1
831000,5
832000,5
833000,5
834000,5
834050,5
834100,5
835000,5
835100,1
835200,1
835300,1
836000,5
840000,1
840100,1
850000,1
860000,2
860100,2
860200,2
860300,2
861100,2
870000,2
870100,2
870200,2
870300,2
871100,2
872000,2
872100,2
872200,2
872300,2
873000,2
880000,1
880100,1
880200,1
880300,1
881000,1
881100,1
890000,1
890100,1
890300,1
891000,1
892100,1
900000,1
900100,1
900200,1
900300,1
901100,1
901200,1
901600,1
902000,5
902100,5
902300,5
903100,5
904100,1
910000,2
910100,2
910200,2
910300,2
911000,2
911100,2
912000,1
912100,1
912200,1
912300,1
913000,2
920000,1
930000,1
930100,1
930200,1
930300,1
931100,1
940000,1
940100,1
940200,1
940300,1
941000,1
950000,5
950100,5
950200,5
950300,5
951100,5
955000,5
955100,5
955200,5
955300,5
956100,5
960000,5
960100,5
960300,5
961000,5
961100,5
962100,5
963000,5
963100,5
963200,5
964000,5
964100,5
965000,5
965100,5
965300,5
966000,5
967000,5
970000,5
970100,5
970200,5
970300,5
980000,5
980100,5
980200,5
980300,5
981100,5
990000,5
990100,5
990200,5
990300,5
991100,5
992000,5
1000000,5
1000100,5
1000200,5
1000300,5
1010000,10
1010100,10
1010300,10
1011100,10
1011300,10
1020100,1
1020200,1
1020300,1
1030000,5
1030100,5
1040000,5
1040100,5
1040200,5
1040300,5
1050100,20
1060000,1
1060100,1
1070000,5
1070100,5
1070200,5
1070300,5
1080000,2
1081000,2
1082000,2
