ID,sellValue
100000,1
100100,1
100200,1
100300,1
100400,1
100500,1
100600,1
100700,1
100800,1
100900,1
101000,1
1000000,1
1000100,1
1000200,1
1000300,1
1000400,1
1000500,1
1000600,1
1000700,1
1000800,1
1000900,1
1001000,1
1001100,1
1001200,1
1001300,1
1001400,1
1001500,1
1001600,1
1001700,1
1001800,1
1001900,1
1002000,1
1002100,1
1002200,1
1002300,1
1010000,1
1020000,1
1020100,1
1020200,1
1020300,1
1020400,1
1020500,1
1020600,1
1020700,1
1020800,1
1020900,1
1021000,1
1021100,1
1021200,1
1021300,1
1021400,1
1021500,1
1021600,1
1021700,1
1021800,1
1021900,1
1022000,1
1022100,1
1022200,1
1022300,1
1030000,1
1030100,1
1030200,1
1030300,1
1030400,1
1030500,1
1030600,1
1030700,1
1030800,1
1030900,1
1031000,1
1031100,1
1031200,1
1031300,1
1031400,1
1031500,1
1031600,1
1031700,1
1031800,1
1031900,1
1032000,1
1032100,1
1032200,1
1032300,1
1040000,1
1050000,1
1060000,1
1060100,1
1060200,1
1060300,1
1060400,1
1060500,1
1060600,1
1060700,1
1060800,1
1060900,1
1061000,1
1061100,1
1061200,1
1061300,1
1061400,1
1061500,1
1061600,1
1061700,1
1061800,1
1061900,1
1062000,1
1062100,1
1062200,1
1062300,1
1070000,1
1080000,1
1090000,1
1090100,1
1090200,1
1090300,1
1090400,1
1090500,1
1090600,1
1090700,1
1090800,1
1090900,1
1091000,1
1091100,1
1091200,1
1091300,1
1091400,1
1091500,1
1091600,1
1091700,1
1091800,1
1091900,1
1092000,1
1092100,1
1092200,1
1092300,1
1100000,1
1100100,1
1100200,1
1100300,1
1100400,1
1100500,1
1100600,1
1100700,1
1100800,1
1100900,1
1101000,1
1101100,1
1101200,1
1101300,1
1101400,1
1101500,1
1101600,1
1101700,1
1101800,1
1101900,1
1102000,1
1102100,1
1102200,1
1102300,1
1110000,5
1120000,1
1120100,1
1120200,1
1120300,1
1120400,1
1120500,1
1120600,1
1120700,1
1120800,1
1120900,1
1121000,1
1121100,1
1121200,1
1121300,1
1121400,1
1121500,1
1121600,1
1121700,1
1121800,1
1121900,1
1122000,1
1122100,1
1122200,1
1122300,1
1130000,1
1140000,1
1140100,1
1140200,1
1140300,1
1140400,1
1140500,1
1140600,1
1140700,1
1140800,1
1140900,1
1141000,1
1141100,1
1141200,1
1141300,1
1141400,1
1141500,1
1141600,1
1141700,1
1141800,1
1141900,1
1142000,1
1142100,1
1142200,1
1142300,1
1150000,2
1150100,2
1150200,2
1150300,2
1150400,2
1150500,2
1150600,2
1150700,2
1150800,2
1150900,2
1151000,2
1151100,2
1151200,2
1151300,2
1151400,2
1151500,2
1151600,2
1151700,2
1151800,2
1151900,2
1152000,2
1152100,2
1152200,2
1152300,2
1160000,10
1170000,10
1190000,1
1500000,1
1500100,1
1500200,1
1500300,1
1500400,1
1500500,1
1500600,1
1500700,1
1500800,1
1500900,1
1501000,1
1501100,1
1501200,1
1501300,1
1501400,1
1501500,1
1501600,1
1501700,1
1501800,1
1501900,1
1502000,1
1502100,1
1502200,1
1502300,1
1510000,1
1510100,1
1510200,1
1510300,1
1510400,1
1510500,1
1510600,1
1510700,1
1510800,1
1510900,1
1511000,1
1511100,1
1511200,1
1511300,1
1511400,1
1511500,1
1511600,1
1511700,1
1511800,1
1511900,1
1512000,1
1512100,1
1512200,1
1512300,1
1690000,1
1910000,1
2000000,1
2000100,1
2000200,1
2000300,1
2000400,1
2000500,1
2000600,1
2000700,1
2000800,1
2000900,1
2001000,1
2001100,1
2001200,1
2001300,1
2001400,1
2001500,1
2001600,1
2001700,1
2001800,1
2001900,1
2002000,1
2002100,1
2002200,1
2002300,1
2010000,1
2010100,1
2010200,1
2010300,1
2010400,1
2010500,1
2010600,1
2010700,1
2010800,1
2010900,1
2011000,1
2011100,1
2011200,1
2011300,1
2011400,1
2011500,1
2011600,1
2011700,1
2011800,1
2011900,1
2012000,1
2012100,1
2012200,1
2012300,1
2020000,1
2020100,1
2020200,1
2020300,1
2020400,1
2020500,1
2020600,1
2020700,1
2020800,1
2020900,1
2021000,1
2021100,1
2021200,1
2021300,1
2021400,1
2021500,1
2021600,1
2021700,1
2021800,1
2021900,1
2022000,1
2022100,1
2022200,1
2022300,1
2030000,1
2030100,1
2030200,1
2030300,1
2030400,1
2030500,1
2030600,1
2030700,1
2030800,1
2030900,1
2031000,1
2031100,1
2031200,1
2031300,1
2031400,1
2031500,1
2031600,1
2031700,1
2031800,1
2031900,1
2032000,1
2032100,1
2032200,1
2032300,1
2040000,1
2040100,1
2040200,1
2040300,1
2040400,1
2040500,1
2040600,1
2040700,1
2040800,1
2040900,1
2041000,1
2041100,1
2041200,1
2041300,1
2041400,1
2041500,1
2041600,1
2041700,1
2041800,1
2041900,1
2042000,1
2042100,1
2042200,1
2042300,1
2050000,1
2050100,1
2050200,1
2050300,1
2050400,1
2050500,1
2050600,1
2050700,1
2050800,1
2050900,1
2051000,1
2051100,1
2051200,1
2051300,1
2051400,1
2051500,1
2051600,1
2051700,1
2051800,1
2051900,1
2052000,1
2052100,1
2052200,1
2052300,1
2060000,2
2070000,5
2080000,2
2090000,2
2100000,1
2100100,1
2100200,1
2100300,1
2100400,1
2100500,1
2100600,1
2100700,1
2100800,1
2100900,1
2101000,1
2101100,1
2101200,1
2101300,1
2101400,1
2101500,1
2101600,1
2101700,1
2101800,1
2101900,1
2102000,1
2102100,1
2102200,1
2102300,1
2110000,10
2120000,1
2120100,1
2120200,1
2120300,1
2120400,1
2120500,1
2120600,1
2120700,1
2120800,1
2120900,1
2121000,1
2121100,1
2121200,1
2121300,1
2121400,1
2121500,1
2121600,1
2121700,1
2121800,1
2121900,1
2122000,1
2122100,1
2122200,1
2122300,1
2140000,10
2150000,2
2180000,2
2190000,5
2200000,1
2210000,2
2210100,2
2210200,2
2210300,2
2210400,2
2210500,2
2210600,2
2210700,2
2210800,2
2210900,2
2211000,2
2211100,2
2211200,2
2211300,2
2211400,2
2211500,2
2211600,2
2211700,2
2211800,2
2211900,2
2212000,2
2212100,2
2212200,2
2212300,2
2220000,5
2230000,10
2230100,10
2230200,10
2230300,10
2230400,10
2230500,10
2230600,10
2230700,10
2230800,10
2230900,10
2231000,10
2231100,10
2231200,10
2231300,10
2231400,10
2231500,10
2231600,10
2231700,10
2231800,10
2231900,10
2232000,10
2232100,10
2232200,10
2232300,10
2240000,1
2240100,1
2240200,1
2240300,1
2240400,1
2240500,1
2240600,1
2240700,1
2240800,1
2240900,1
2241000,1
2241100,1
2241200,1
2241300,1
2241400,1
2241500,1
2241600,1
2241700,1
2241800,1
2241900,1
2242000,1
2242100,1
2242200,1
2242300,1
2250000,1
2260000,2
2510000,5
2520000,5
2530000,5
2540000,10
2550000,10
2560000,10
3000000,1
3000100,1
3000200,1
3000300,1
3000400,1
3000500,1
3000600,1
3000700,1
3000800,1
3000900,1
3001000,1
3001100,1
3001200,1
3001300,1
3001400,1
3001500,1
3001600,1
3001700,1
3001800,1
3001900,1
3002000,1
3002100,1
3002200,1
3002300,1
3010000,1
3010100,1
3010200,1
3010300,1
3010400,1
3010500,1
3010600,1
3010700,1
3010800,1
3010900,1
3011000,1
3011100,1
3011200,1
3011300,1
3011400,1
3011500,1
3011600,1
3011700,1
3011800,1
3011900,1
3012000,1
3012100,1
3012200,1
3012300,1
3020000,1
3020100,1
3020200,1
3020300,1
3020400,1
3020500,1
3020600,1
3020700,1
3020800,1
3020900,1
3021000,1
3021100,1
3021200,1
3021300,1
3021400,1
3021500,1
3021600,1
3021700,1
3021800,1
3021900,1
3022000,1
3022100,1
3022200,1
3022300,1
3030000,1
3030100,1
3030200,1
3030300,1
3030400,1
3030500,1
3030600,1
3030700,1
3030800,1
3030900,1
3031000,1
3031100,1
3031200,1
3031300,1
3031400,1
3031500,1
3031600,1
3031700,1
3031800,1
3031900,1
3032000,1
3032100,1
3032200,1
3032300,1
3040000,2
3040100,2
3040200,2
3040300,2
3040400,2
3040500,2
3040600,2
3040700,2
3040800,2
3040900,2
3041000,2
3041100,2
3041200,2
3041300,2
3041400,2
3041500,2
3041600,2
3041700,2
3041800,2
3041900,2
3042000,2
3042100,2
3042200,2
3042300,2
3050000,1
3050100,1
3050200,1
3050300,1
3050400,1
3050500,1
3050600,1
3050700,1
3050800,1
3050900,1
3051000,1
3051100,1
3051200,1
3051300,1
3051400,1
3051500,1
3051600,1
3051700,1
3051800,1
3051900,1
3052000,1
3052100,1
3052200,1
3052300,1
3060000,10
3070000,5
3080000,2
3080100,2
3080200,2
3080300,2
3080400,2
3080500,2
3080600,2
3080700,2
3080800,2
3080900,2
3081000,2
3081100,2
3081200,2
3081300,2
3081400,2
3081500,2
3081600,2
3081700,2
3081800,2
3081900,2
3082000,2
3082100,2
3082200,2
3082300,2
3090000,10
3100000,10
3130000,5
3140000,10
3150000,10
3160000,5
3170000,5
3180000,1
3180100,1
3180200,1
3180300,1
3180400,1
3180500,1
3180600,1
3180700,1
3180800,1
3180900,1
3181000,1
3181100,1
3181200,1
3181300,1
3181400,1
3181500,1
3181600,1
3181700,1
3181800,1
3181900,1
3182000,1
3182100,1
3182200,1
3182300,1
3190000,2
3190100,2
3190200,2
3190300,2
3190400,2
3190500,2
3190600,2
3190700,2
3190800,2
3190900,2
3191000,2
3191100,2
3191200,2
3191300,2
3191400,2
3191500,2
3191600,2
3191700,2
3191800,2
3191900,2
3192000,2
3192100,2
3192200,2
3192300,2
3200000,2
3210000,2
3220000,5
3500000,5
3500100,5
3500200,5
3500300,5
3500400,5
3500500,5
3500600,5
3500700,5
3500800,5
3500900,5
3501000,5
3501100,5
3501200,5
3501300,5
3501400,5
3501500,5
3501600,5
3501700,5
3501800,5
3501900,5
3502000,5
3502100,5
3502200,5
3502300,5
3510000,10
3520000,1
3520100,1
3520200,1
3520300,1
3520400,1
3520500,1
3520600,1
3520700,1
3520800,1
3520900,1
3521000,1
3521100,1
3521200,1
3521300,1
3521400,1
3521500,1
3521600,1
3521700,1
3521800,1
3521900,1
3522000,1
3522100,1
3522200,1
3522300,1
3550000,2
3690000,1
3900000,1
4000000,1
4000100,1
4000200,1
4000300,1
4000400,1
4000500,1
4000600,1
4000700,1
4000800,1
4000900,1
4001000,1
4001100,1
4001200,1
4001300,1
4001400,1
4001500,1
4001600,1
4001700,1
4001800,1
4001900,1
4002000,1
4002100,1
4002200,1
4002300,1
4010000,1
4010100,1
4010200,1
4010300,1
4010400,1
4010500,1
4010600,1
4010700,1
4010800,1
4010900,1
4011000,1
4011100,1
4011200,1
4011300,1
4011400,1
4011500,1
4011600,1
4011700,1
4011800,1
4011900,1
4012000,1
4012100,1
4012200,1
